date,water level,error
2004-05-02,1606.282,0.001
2004-05-12,1606.302,0.002
2004-05-22,1606.365,0.005
2004-05-31,1606.404,0.003
2004-06-10,1606.404,0.002
2004-06-20,1606.457,0.004
2004-06-30,1606.354,0.000
2004-07-20,1606.432,0.002
2004-07-30,1606.469,0.001
2004-08-09,1606.413,0.002
2004-08-19,1606.370,0.001
2004-08-29,1606.418,0.003
2004-09-08,1606.364,0.000
2004-09-18,1606.371,0.000
2004-09-27,1606.283,0.000
2004-10-07,1606.335,0.001
2004-10-17,1606.340,0.002
2004-10-27,1606.290,0.005
2004-11-06,1606.262,0.006
2004-11-26,1606.197,0.000
2004-12-06,1606.318,0.002
2004-12-16,1606.313,0.004
2004-12-26,1606.296,0.004
2005-01-15,1606.274,0.007
2005-01-24,1606.327,0.003
2005-02-23,1606.274,0.003
2005-03-05,1606.308,0.004
2005-03-15,1606.318,0.003
2005-04-04,1606.298,0.001
2005-05-14,1606.382,0.000
2005-06-02,1606.365,0.005
2005-06-12,1606.389,0.004
2005-07-02,1606.364,0.015
2005-07-12,1606.361,0.006
2005-07-22,1606.484,0.003
2005-08-01,1606.475,0.005
2005-08-11,1606.410,0.005
2005-08-21,1606.430,0.001
2005-08-31,1606.290,0.025
2005-09-10,1606.431,0.000
2005-09-19,1606.352,0.003
2005-09-29,1606.432,0.003
2005-10-09,1606.381,0.006
2005-10-19,1606.369,0.035
2005-10-29,1606.477,0.001
2005-11-08,1606.365,0.000
2005-11-18,1606.367,0.002
2005-11-28,1606.358,0.002
2005-12-08,1606.327,0.003
2005-12-18,1606.275,0.001
2005-12-28,1606.263,0.002
2006-01-07,1606.245,0.002
2006-01-16,1606.322,0.002
2006-01-26,1606.375,0.002
2006-02-05,1606.286,0.000
2006-02-15,1606.326,0.000
2006-02-25,1606.367,0.004
2006-03-07,1606.335,0.002
2006-03-27,1606.474,0.008
2006-04-06,1606.445,0.001
2006-04-16,1606.402,0.001
2006-05-05,1606.377,0.002
2006-05-15,1606.328,0.044
2006-05-25,1606.440,0.009
2006-06-14,1606.426,0.001
2006-06-24,1606.459,0.002
2006-07-14,1606.248,0.002
2006-07-24,1606.492,0.006
2006-08-03,1606.377,0.004
2006-08-13,1606.410,0.001
2006-08-23,1606.411,0.004
2006-09-01,1606.331,0.001
2006-09-11,1606.367,0.000
2006-09-21,1606.434,0.001
2006-10-01,1606.439,0.003
2006-10-11,1606.375,0.010
2006-10-21,1606.360,0.002
2006-11-20,1606.324,0.000
2006-11-30,1606.395,0.004
2006-12-10,1606.220,0.004
2006-12-20,1606.216,0.000
2006-12-29,1606.206,0.001
2007-01-08,1606.281,0.001
2007-01-18,1606.241,0.004
2007-03-19,1606.267,0.002
2007-03-29,1606.213,0.002
2007-04-18,1606.255,0.000
2007-04-27,1606.316,0.003
2007-05-07,1606.327,0.001
2007-05-17,1606.323,0.004
2007-05-27,1606.336,0.000
2007-06-06,1606.399,0.003
2007-07-06,1606.411,0.003
2007-07-16,1606.405,0.004
2007-07-26,1606.409,0.001
2007-08-05,1606.432,0.001
2007-08-24,1606.346,0.010
2007-09-03,1606.276,0.003
2007-09-13,1606.368,0.000
2007-09-23,1606.303,0.006
2007-10-03,1606.261,0.001
2007-10-13,1606.349,0.002
2007-10-23,1606.307,0.002
2007-11-02,1606.324,0.002
2007-11-12,1606.313,0.004
2007-11-22,1606.290,0.010
2007-12-02,1606.278,0.004
2007-12-12,1606.196,0.000
2007-12-21,1606.203,0.001
2007-12-31,1606.189,0.002
2008-01-10,1606.156,0.007
2008-01-20,1606.162,0.012
2008-01-30,1606.193,0.010
2008-02-09,1606.273,0.002
2008-02-19,1606.247,0.001
2008-02-29,1606.281,0.004
2008-03-10,1606.260,0.008
2008-03-20,1606.270,0.002
2008-04-09,1606.212,0.001
2008-04-18,1606.228,0.006
2008-04-28,1606.376,0.000
2008-06-17,1606.297,0.002
2008-07-17,1606.300,0.000
2008-08-15,1606.293,0.003
2008-08-25,1606.265,0.004
2008-09-04,1606.273,0.000
2008-09-14,1606.163,0.000
2008-09-24,1606.237,0.000
2008-10-04,1606.242,0.000
2008-10-14,1606.197,0.001
2008-10-24,1606.040,0.002
2008-11-03,1606.128,0.000
2008-11-13,1606.115,0.003
2008-11-23,1606.180,0.005
2008-12-02,1606.151,0.001
2008-12-12,1606.153,0.002
2008-12-22,1606.142,0.002
2009-01-01,1606.101,0.000
2009-01-11,1606.098,0.005
2009-01-21,1606.082,0.001
2009-01-31,1606.058,0.002
2009-02-10,1606.108,0.002
2009-03-02,1606.175,0.001
2009-03-12,1606.024,0.007
2009-03-31,1606.139,0.004
2009-04-20,1606.036,0.003
2009-04-30,1606.098,0.012
2009-05-10,1606.263,0.004
2009-05-20,1606.246,0.001
2009-05-30,1606.304,0.008
2009-06-09,1606.228,0.001
2009-06-19,1606.262,0.000
2009-06-29,1606.094,0.000
2009-07-09,1606.199,0.005
2009-07-19,1606.273,0.003
2009-07-28,1606.214,0.000
2009-08-17,1606.238,0.003
2009-08-27,1606.237,0.006
2009-09-26,1606.329,0.006
2009-10-16,1606.325,0.001
2009-10-26,1606.326,0.000
2009-11-15,1606.130,0.003
2009-11-24,1606.212,0.002
2009-12-04,1606.130,0.001
2009-12-14,1606.207,0.003
2009-12-24,1606.142,0.000
2010-01-03,1606.215,0.002
2010-01-13,1606.169,0.007
2010-01-23,1606.237,0.000
2010-02-12,1606.178,0.002
2010-03-04,1606.205,0.001
2010-03-23,1606.262,0.001
2010-04-02,1606.296,0.002
2010-04-12,1606.220,0.001
2010-05-02,1606.187,0.000
2010-05-22,1606.374,0.002
2010-06-01,1606.275,0.000
2010-06-11,1606.376,0.002
2010-06-21,1606.409,0.000
2010-07-11,1606.402,0.001
2010-07-20,1606.261,0.006
2010-07-30,1606.327,0.005
2010-08-09,1606.428,0.000
2010-08-19,1606.353,0.003
2010-09-08,1606.470,0.001
2010-09-18,1606.463,0.004
2010-09-28,1606.332,0.011
2010-10-08,1606.443,0.003
2010-11-06,1606.398,0.003
2010-11-16,1606.430,0.002
2010-11-26,1606.399,0.000
2010-12-16,1606.370,0.002
2010-12-26,1606.436,0.005
2011-01-05,1606.361,0.002
2011-01-15,1606.350,0.002
2011-01-25,1606.298,0.000
2011-02-04,1606.429,0.002
2011-02-14,1606.471,0.001
2011-02-24,1606.289,0.002
2011-03-05,1606.333,0.000
2011-03-25,1606.400,0.001
2011-04-04,1606.304,0.003
2011-06-03,1606.519,0.002
2011-06-13,1606.477,0.001
2011-06-23,1606.444,0.002
2011-07-02,1606.435,0.001
2011-07-12,1606.542,0.003
2011-07-22,1606.515,0.002
2011-08-11,1606.506,0.000
2011-08-21,1606.418,0.005
2011-08-31,1606.543,0.005
2011-09-10,1606.557,0.002
2011-09-20,1606.551,0.003
2011-09-30,1606.543,0.002
2011-10-10,1606.467,0.002
2011-10-20,1606.498,0.002
2011-10-29,1606.482,0.003
2011-11-08,1606.419,0.007
2011-11-18,1606.458,0.003
2011-11-28,1606.470,0.001
2012-01-07,1606.472,0.003
2012-01-17,1606.388,0.001
2012-01-27,1606.460,0.002
2012-02-06,1606.351,0.004
2012-02-16,1606.434,0.009
2012-02-25,1606.421,0.003
2012-03-06,1606.352,0.001
2012-03-16,1606.549,0.010
2012-04-15,1606.309,0.012
2012-05-25,1606.534,0.005
2012-06-04,1606.432,0.009
2012-06-14,1606.451,0.002
2012-06-23,1606.471,0.000
2012-07-03,1606.502,0.003
2012-07-23,1606.445,0.002
2012-08-02,1606.492,0.001
2012-08-12,1606.458,0.018
2012-08-22,1606.499,0.003
2012-09-01,1606.474,0.002
2012-09-21,1606.448,0.001
2012-10-01,1606.405,0.002
2012-10-20,1606.291,0.002
2012-10-30,1606.289,0.000
2012-11-19,1606.245,0.001
2012-11-29,1606.245,0.001
2012-12-09,1606.308,0.002
2012-12-19,1606.233,0.000
2012-12-29,1606.239,0.002
2013-01-08,1606.236,0.002
2013-01-18,1606.243,0.003
2013-01-28,1606.295,0.003
2013-02-06,1606.174,0.003
2013-02-26,1606.243,0.006
2013-03-18,1606.340,0.004
2013-04-27,1606.250,0.002
2013-05-07,1606.162,0.005
2013-05-17,1606.356,0.003
2013-05-27,1606.315,0.001
2013-06-05,1606.278,0.003
2013-06-15,1606.148,0.000
2013-07-05,1606.330,0.001
2013-07-15,1606.279,0.001
2013-07-25,1606.263,0.001
2013-08-04,1606.377,0.001
2013-08-14,1606.365,0.001
2013-08-24,1606.379,0.001
2013-09-13,1606.337,0.005
2013-10-02,1606.315,0.000
2013-10-12,1606.358,0.002
2013-10-22,1606.302,0.010
2013-11-01,1606.296,0.003
2013-11-11,1606.226,0.001
2013-11-21,1606.257,0.000
2013-12-11,1606.359,0.004
2013-12-21,1606.218,0.001
2013-12-31,1606.199,0.003
2014-01-10,1606.236,0.001
2014-01-20,1606.198,0.002
2014-01-29,1606.192,0.000
2014-02-08,1606.132,0.003
2014-02-18,1606.088,0.000
2014-02-28,1606.161,0.002
2014-03-10,1606.323,0.000
2014-03-20,1606.153,0.008
2014-03-30,1606.280,0.004
2014-04-09,1606.177,0.001
2014-04-19,1606.127,0.004
2014-04-29,1606.140,0.003
2014-05-09,1606.038,0.015
2014-06-07,1606.205,0.001
2014-06-27,1606.201,0.002
2014-07-07,1606.256,0.001
2014-07-17,1606.208,0.002
2014-07-27,1606.293,0.001
2014-08-06,1606.225,0.010
2014-08-16,1606.102,0.004
2014-08-26,1606.118,0.000
2014-09-05,1606.152,0.001
2014-09-15,1606.119,0.013
2014-09-24,1606.091,0.000
2014-10-04,1606.099,0.005
2014-10-14,1606.194,0.006
2014-10-24,1606.112,0.004
2014-11-03,1606.163,0.012
2014-11-13,1605.970,0.002
2014-11-23,1606.046,0.008
2014-12-03,1606.064,0.004
2014-12-13,1605.955,0.005
2014-12-23,1606.038,0.002
2015-01-02,1606.212,0.004
2015-01-11,1605.991,0.000
2015-01-21,1605.957,0.004
2015-01-31,1605.991,0.003
2015-02-20,1605.951,0.009
2015-03-12,1606.087,0.005
2015-03-22,1605.982,0.000
2015-04-01,1606.074,0.002
2015-04-21,1606.062,0.005
2015-05-01,1605.983,0.002
2015-05-10,1605.919,0.077
2015-05-20,1606.165,0.005
2015-05-30,1606.105,0.000
2015-06-09,1606.069,0.002
2015-06-29,1606.102,0.003
2015-07-09,1606.115,0.006
2015-07-19,1606.127,0.004
2015-07-29,1606.172,0.001
2015-08-08,1606.187,0.003
2015-09-06,1606.126,0.001
2015-09-16,1606.183,0.003
2015-09-26,1606.141,0.001
2015-10-06,1606.183,0.002
2015-10-16,1606.151,0.002
2015-11-05,1606.094,0.009
2015-11-15,1606.098,0.003
2015-11-25,1606.062,0.001
2015-12-05,1606.125,0.002
2015-12-15,1606.053,0.003
2015-12-25,1606.016,0.004
2016-01-03,1606.077,0.000
2016-01-13,1605.997,0.003
2016-02-02,1605.969,0.001
2016-03-03,1606.037,0.000
2016-04-02,1606.020,0.001
2016-04-12,1606.099,0.002
2016-05-01,1606.106,0.001
2016-05-11,1606.110,0.000
2016-05-21,1606.137,0.009
2016-05-31,1606.193,0.000
2016-06-10,1606.241,0.008
2016-06-20,1606.228,0.000
2016-06-30,1606.223,0.004
2016-07-20,1606.290,0.000
2016-07-30,1606.327,0.001
2016-08-09,1606.311,0.000
2016-08-19,1606.281,0.001
2016-09-07,1606.339,0.000
2016-09-17,1606.369,0.001
2016-09-27,1606.270,0.001
2016-10-07,1606.315,0.003
2016-10-17,1606.298,0.004
2016-10-27,1606.290,0.002
2016-11-06,1606.315,0.004
2016-11-16,1606.320,0.000
2016-11-26,1606.302,0.009
2016-12-06,1606.241,0.011
2016-12-16,1606.302,0.005
2017-01-04,1606.262,0.003
2017-01-14,1606.283,0.003
2017-01-24,1606.213,0.001
2017-02-03,1606.154,0.004
2017-02-13,1606.148,0.002
2017-02-23,1606.289,0.004
2017-03-05,1606.271,0.002
2017-03-15,1606.216,0.002
2017-03-25,1606.189,0.004
2017-04-04,1606.265,0.001
2017-04-13,1606.152,0.001
2017-04-23,1606.209,0.003
2017-05-23,1606.330,0.000
2017-06-02,1606.354,0.003
2017-07-02,1606.316,0.003
2017-07-12,1606.420,0.003
2017-07-22,1606.416,0.005
2017-08-01,1606.420,0.001
2017-08-10,1606.389,0.003
2017-08-20,1606.358,0.000
2017-09-09,1606.327,0.004
2017-09-29,1606.302,0.004
2017-10-09,1606.369,0.002
2017-10-19,1606.224,0.007
2017-10-29,1606.210,0.001
2017-11-08,1606.187,0.001
2017-11-18,1606.230,0.001
2017-12-27,1606.148,0.001
2018-01-06,1606.070,0.003
2018-01-16,1606.124,0.000
2018-01-26,1606.080,0.004
2018-02-05,1606.091,0.004
2018-03-07,1606.129,0.037
2018-03-17,1606.075,0.001
2018-03-27,1606.233,0.000
2018-04-05,1606.299,0.004
2018-04-15,1606.021,0.003
2018-04-25,1606.180,0.005
2018-05-05,1606.145,0.004
2018-05-15,1606.219,0.006
2018-06-04,1606.231,0.004
2018-06-14,1606.235,0.001
2018-06-24,1606.269,0.005
2018-07-04,1606.170,0.001
2018-07-14,1606.231,0.001
2018-07-24,1606.227,0.013
2018-08-02,1606.150,0.001
2018-08-12,1606.213,0.002
2018-08-22,1606.186,0.008
2018-09-01,1606.106,0.000
2018-09-11,1606.133,0.000
2018-09-21,1606.099,0.003
2018-10-11,1606.073,0.008
2018-10-21,1605.987,0.005
2018-10-31,1606.049,0.003
2018-11-10,1606.085,0.003
2018-11-20,1606.033,0.004
2018-12-09,1606.050,0.002
2018-12-19,1606.076,0.006
2018-12-29,1606.022,0.004
2019-01-08,1606.089,0.002
2019-01-18,1606.070,0.000
2019-01-28,1606.026,0.002
2019-02-17,1605.992,0.000
2019-03-09,1605.966,0.001
2019-03-28,1606.073,0.053
2019-04-17,1606.103,0.002
2019-04-27,1606.109,0.003
2019-05-07,1606.144,0.003
2019-05-27,1606.081,0.004
2019-06-06,1606.107,0.000
2019-06-16,1606.024,0.001
2019-06-26,1606.078,0.003
2019-07-06,1606.122,0.006
2019-07-15,1606.125,0.001
2019-07-25,1606.060,0.003
2019-08-04,1606.051,0.000
2019-08-14,1606.086,0.003
2019-08-24,1606.128,0.003
2019-09-03,1606.201,0.000
2019-09-13,1606.200,0.003
2019-09-23,1606.049,0.006
2019-10-03,1606.102,0.004
2019-10-13,1606.131,0.002
2019-10-23,1606.032,0.002
2019-11-02,1606.076,0.007
2019-11-11,1606.047,0.000
2019-11-21,1605.971,0.002
2019-12-11,1606.092,0.001
2020-01-10,1606.003,0.013
2020-01-20,1605.978,0.001
2020-01-30,1605.947,0.001
2020-02-19,1605.922,0.001
2020-02-29,1605.960,0.004
2020-03-19,1605.984,0.001
2020-03-29,1606.002,0.000
2020-04-08,1605.992,0.002
2020-05-08,1606.106,0.003
2020-05-18,1606.064,0.003
2020-05-28,1606.089,0.004
2020-06-07,1606.021,0.003
2020-07-06,1605.950,0.010
2020-07-16,1606.017,0.003
2020-07-26,1606.012,0.001
2020-08-05,1606.050,0.002
2020-08-15,1606.115,0.003
2020-09-04,1605.951,0.002
2020-10-04,1606.070,0.004
2020-10-14,1605.999,0.001
2020-10-24,1605.927,0.007
2020-11-12,1605.883,0.004
2020-11-22,1605.903,0.003
2020-12-02,1605.884,0.009
2020-12-12,1605.940,0.000
2020-12-22,1606.040,0.018
2021-01-01,1605.835,0.002
2021-01-21,1605.876,0.001
2021-01-31,1605.939,0.002
2021-02-10,1605.867,0.006
2021-02-20,1605.986,0.001
2021-03-01,1605.774,0.004
2021-03-11,1605.919,0.001
2021-03-21,1605.889,0.001
2021-03-31,1605.913,0.020
2021-04-10,1605.832,0.003
2021-04-20,1606.017,0.003
2021-05-10,1605.888,0.003
2021-05-20,1605.824,0.000
2021-05-30,1605.979,0.003
2021-06-09,1605.807,0.003
2021-06-19,1605.915,0.001
2021-07-18,1605.920,0.003
2021-07-28,1605.931,0.006
2021-08-07,1605.904,0.005
2021-08-17,1605.903,0.000
2021-09-06,1605.974,0.004
2021-09-16,1605.907,0.001
2021-09-26,1605.884,0.006
2021-10-06,1605.734,0.002
2021-10-15,1605.768,0.004
2021-10-25,1605.917,0.004
2021-12-04,1605.640,0.005
2021-12-14,1605.659,0.005
2021-12-24,1605.770,0.000
2022-01-03,1605.628,0.001
2022-01-13,1605.670,0.001
2022-02-02,1605.659,0.000
2022-02-11,1605.685,0.005
2022-02-21,1605.774,0.002
2022-03-03,1605.694,0.005
2022-03-13,1605.647,0.002
2022-03-23,1605.707,0.002
